From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
RPS2	P15880	reviewed	RS2_HUMAN	Small ribosomal subunit protein uS5 (40S ribosomal protein S2) (40S ribosomal protein S4) (Protein LLRep3)	RPS2 RPS4	Homo sapiens (Human)	293
RPS3	P23396	reviewed	RS3_HUMAN	Small ribosomal subunit protein uS3 (40S ribosomal protein S3) (EC 4.2.99.18)	RPS3 OK/SW-cl.26	Homo sapiens (Human)	243
RPS3A	P61247	reviewed	RS3A_HUMAN	Small ribosomal subunit protein eS1 (40S ribosomal protein S3a) (v-fos transformation effector protein) (Fte-1)	RPS3A FTE1 MFTL	Homo sapiens (Human)	264
RPS4X	P62701	reviewed	RS4X_HUMAN	Small ribosomal subunit protein eS4, X isoform (40S ribosomal protein S4) (SCR10) (Single copy abundant mRNA protein)	RPS4X CCG2 RPS4 SCAR	Homo sapiens (Human)	263
RPS4Y1	P22090	reviewed	RS4Y1_HUMAN	Small ribosomal subunit protein eS4, Y isoform 1 (40S ribosomal protein S4)	RPS4Y1 RPS4Y PRO2646	Homo sapiens (Human)	263
RPS5	P46782	reviewed	RS5_HUMAN	Small ribosomal subunit protein uS7 (40S ribosomal protein S5) [Cleaved into: Small ribosomal subunit protein uS7, N-terminally processed (40S ribosomal protein S5, N-terminally processed)]	RPS5	Homo sapiens (Human)	204
RPS6	P62753	reviewed	RS6_HUMAN	Small ribosomal subunit protein eS6 (40S ribosomal protein S6) (Phosphoprotein NP33)	RPS6 OK/SW-cl.2	Homo sapiens (Human)	249
RPS7	P62081	reviewed	RS7_HUMAN	Small ribosomal subunit protein eS7 (40S ribosomal protein S7)	RPS7	Homo sapiens (Human)	194
RPS8	P62241	reviewed	RS8_HUMAN	Small ribosomal subunit protein eS8 (40S ribosomal protein S8)	RPS8 OK/SW-cl.83	Homo sapiens (Human)	208
RPS9	P46781	reviewed	RS9_HUMAN	Small ribosomal subunit protein uS4 (40S ribosomal protein S9)	RPS9	Homo sapiens (Human)	194
RPS10	P46783	reviewed	RS10_HUMAN	Small ribosomal subunit protein eS10 (40S ribosomal protein S10)	RPS10	Homo sapiens (Human)	165
RPS11	P62280	reviewed	RS11_HUMAN	Small ribosomal subunit protein uS17 (40S ribosomal protein S11)	RPS11	Homo sapiens (Human)	158
RPS12	P25398	reviewed	RS12_HUMAN	Small ribosomal subunit protein eS12 (40S ribosomal protein S12)	RPS12	Homo sapiens (Human)	132
RPS13	P62277	reviewed	RS13_HUMAN	Small ribosomal subunit protein uS15 (40S ribosomal protein S13)	RPS13	Homo sapiens (Human)	151
RPS14	P62263	reviewed	RS14_HUMAN	Small ribosomal subunit protein uS11 (40S ribosomal protein S14)	RPS14 PRO2640	Homo sapiens (Human)	151
RPS15	P62841	reviewed	RS15_HUMAN	Small ribosomal subunit protein uS19 (40S ribosomal protein S15) (RIG protein)	RPS15 RIG	Homo sapiens (Human)	145
RPS15A	P62244	reviewed	RS15A_HUMAN	Small ribosomal subunit protein uS8 (40S ribosomal protein S15a)	RPS15A OK/SW-cl.82	Homo sapiens (Human)	130
RPS16	P62249	reviewed	RS16_HUMAN	Small ribosomal subunit protein uS9 (40S ribosomal protein S16)	RPS16	Homo sapiens (Human)	146
RPS17	P08708	reviewed	RS17_HUMAN	Small ribosomal subunit protein eS17 (40S ribosomal protein S17)	RPS17 RPS17L	Homo sapiens (Human)	135
RPS18	P62269	reviewed	RS18_HUMAN	Small ribosomal subunit protein uS13 (40S ribosomal protein S18) (Ke-3) (Ke3)	RPS18 D6S218E	Homo sapiens (Human)	152
RPS19	P39019	reviewed	RS19_HUMAN	Small ribosomal subunit protein eS19 (40S ribosomal protein S19)	RPS19	Homo sapiens (Human)	145
RPS20	P60866	reviewed	RS20_HUMAN	Small ribosomal subunit protein uS10 (40S ribosomal protein S20)	RPS20	Homo sapiens (Human)	119
RPS21	P63220	reviewed	RS21_HUMAN	Small ribosomal subunit protein eS21 (40S ribosomal protein S21)	RPS21	Homo sapiens (Human)	83
RPS23	P62266	reviewed	RS23_HUMAN	Small ribosomal subunit protein uS12 (40S ribosomal protein S23)	RPS23	Homo sapiens (Human)	143
RPS24	P62847	reviewed	RS24_HUMAN	Small ribosomal subunit protein eS24 (40S ribosomal protein S24)	RPS24	Homo sapiens (Human)	133
RPS25	P62851	reviewed	RS25_HUMAN	Small ribosomal subunit protein eS25 (40S ribosomal protein S25)	RPS25	Homo sapiens (Human)	125
RPS26	P62854	reviewed	RS26_HUMAN	Small ribosomal subunit protein eS26 (40S ribosomal protein S26)	RPS26	Homo sapiens (Human)	115
RPS27	P42677	reviewed	RS27_HUMAN	Small ribosomal subunit protein eS27 (40S ribosomal protein S27) (Metallopan-stimulin 1) (MPS-1)	RPS27 MPS1	Homo sapiens (Human)	84
RPS27A	P62979	reviewed	RS27A_HUMAN	Ubiquitin-ribosomal protein eS31 fusion protein (Ubiquitin carboxyl extension protein 80) [Cleaved into: Ubiquitin; Small ribosomal subunit protein eS31 (40S ribosomal protein S27a)]	RPS27A UBA80 UBCEP1	Homo sapiens (Human)	156
RPS28	P62857	reviewed	RS28_HUMAN	Small ribosomal subunit protein eS28 (40S ribosomal protein S28)	RPS28	Homo sapiens (Human)	69
RPS29	P62273	reviewed	RS29_HUMAN	Small ribosomal subunit protein uS14 (40S ribosomal protein S29)	RPS29	Homo sapiens (Human)	56
FAU	P62861	reviewed	RS30_HUMAN	Ubiquitin-like FUBI-ribosomal protein eS30 fusion protein (FAU ubiquitin like and ribosomal protein S30 fusion) [Cleaved into: Ubiquitin-like protein FUBI; Small ribosomal subunit protein eS30 (40S ribosomal protein S30)]	FAU	Homo sapiens (Human)	133
RPL3	P39023	reviewed	RL3_HUMAN	Large ribosomal subunit protein uL3 (60S ribosomal protein L3) (HIV-1 TAR RNA-binding protein B) (TARBP-B)	RPL3 OK/SW-cl.32	Homo sapiens (Human)	403
RPL3L	Q92901	reviewed	RL3L_HUMAN	Ribosomal protein uL3-like (60S ribosomal protein L3-like) (Large ribosomal subunit protein uL3-like)	RPL3L	Homo sapiens (Human)	407
RPL4	P36578	reviewed	RL4_HUMAN	Large ribosomal subunit protein uL4 (60S ribosomal protein L1) (60S ribosomal protein L4)	RPL4 RPL1	Homo sapiens (Human)	427
RPL5	P46777	reviewed	RL5_HUMAN	Large ribosomal subunit protein uL18 (60S ribosomal protein L5)	RPL5 MSTP030	Homo sapiens (Human)	297
RPL6	Q02878	reviewed	RL6_HUMAN	Large ribosomal subunit protein eL6 (60S ribosomal protein L6) (Neoplasm-related protein C140) (Tax-responsive enhancer element-binding protein 107) (TaxREB107)	RPL6 TXREB1	Homo sapiens (Human)	288
RPL7	P18124	reviewed	RL7_HUMAN	Large ribosomal subunit protein uL30 (60S ribosomal protein L7)	RPL7	Homo sapiens (Human)	248
RPL7A	P62424	reviewed	RL7A_HUMAN	Large ribosomal subunit protein eL8 (60S ribosomal protein L7a) (PLA-X polypeptide) (Surfeit locus protein 3)	RPL7A SURF-3 SURF3	Homo sapiens (Human)	266
RPL8	P62917	reviewed	RL8_HUMAN	Large ribosomal subunit protein uL2 (60S ribosomal protein L8)	RPL8	Homo sapiens (Human)	257
RPL9	P32969	reviewed	RL9_HUMAN	Large ribosomal subunit protein uL6 (60S ribosomal protein L9)	RPL9 OK/SW-cl.103; RPL9P7; RPL9P8; RPL9P9	Homo sapiens (Human)	192
RPL10	P27635	reviewed	RL10_HUMAN	Large ribosomal subunit protein uL16 (60S ribosomal protein L10) (Laminin receptor homolog) (Protein QM) (Ribosomal protein L10) (Tumor suppressor QM)	RPL10 DXS648E QM	Homo sapiens (Human)	214
RPL10A	P62906	reviewed	RL10A_HUMAN	Large ribosomal subunit protein uL1 (60S ribosomal protein L10a) (CSA-19) (Neural precursor cell expressed developmentally down-regulated protein 6) (NEDD-6)	RPL10A NEDD6	Homo sapiens (Human)	217
RPL11	P62913	reviewed	RL11_HUMAN	Large ribosomal subunit protein uL5 (60S ribosomal protein L11) (CLL-associated antigen KW-12)	RPL11	Homo sapiens (Human)	178
RPL12	P30050	reviewed	RL12_HUMAN	Large ribosomal subunit protein uL11 (60S ribosomal protein L12)	RPL12	Homo sapiens (Human)	165
RPL13	P26373	reviewed	RL13_HUMAN	Large ribosomal subunit protein eL13 (60S ribosomal protein L13) (Breast basic conserved protein 1)	RPL13 BBC1 OK/SW-cl.46	Homo sapiens (Human)	211
RPL13A	P40429	reviewed	RL13A_HUMAN	Large ribosomal subunit protein uL13 (23 kDa highly basic protein) (60S ribosomal protein L13a)	RPL13A	Homo sapiens (Human)	203
RPL14	P50914	reviewed	RL14_HUMAN	Large ribosomal subunit protein eL14 (60S ribosomal protein L14) (CAG-ISL 7)	RPL14	Homo sapiens (Human)	215
RPL15	P61313	reviewed	RL15_HUMAN	Large ribosomal subunit protein eL15 (60S ribosomal protein L15)	RPL15 EC45 TCBAP0781	Homo sapiens (Human)	204
RPL17	P18621	reviewed	RL17_HUMAN	Large ribosomal subunit protein uL22 (60S ribosomal protein L17) (60S ribosomal protein L23) (PD-1)	RPL17	Homo sapiens (Human)	184
RPL18	Q07020	reviewed	RL18_HUMAN	Large ribosomal subunit protein eL18 (60S ribosomal protein L18)	RPL18	Homo sapiens (Human)	188
RPL18A	Q02543	reviewed	RL18A_HUMAN	Large ribosomal subunit protein eL20 (60S ribosomal protein L18a)	RPL18A	Homo sapiens (Human)	176
RPL19	P84098	reviewed	RL19_HUMAN	Large ribosomal subunit protein eL19 (60S ribosomal protein L19)	RPL19	Homo sapiens (Human)	196
RPL21	P46778	reviewed	RL21_HUMAN	Large ribosomal subunit protein eL21 (60S ribosomal protein L21)	RPL21	Homo sapiens (Human)	160
RPL22	P35268	reviewed	RL22_HUMAN	Large ribosomal subunit protein eL22 (60S ribosomal protein L22) (EBER-associated protein) (EAP) (Epstein-Barr virus small RNA-associated protein) (Heparin-binding protein HBp15)	RPL22	Homo sapiens (Human)	128
RPL22L1	Q6P5R6	reviewed	RL22L_HUMAN	Ribosomal protein eL22-like (60S ribosomal protein L22-like 1) (Large ribosomal subunit protein eL22-like 1)	RPL22L1	Homo sapiens (Human)	122
RPL23	P62829	reviewed	RL23_HUMAN	Large ribosomal subunit protein uL14 (60S ribosomal protein L17) (60S ribosomal protein L23)	RPL23	Homo sapiens (Human)	140
RPL23A	P62750	reviewed	RL23A_HUMAN	Large ribosomal subunit protein uL23 (60S ribosomal protein L23a)	RPL23A	Homo sapiens (Human)	156
RPL24	P83731	reviewed	RL24_HUMAN	Large ribosomal subunit protein eL24 (60S ribosomal protein L24) (60S ribosomal protein L30)	RPL24	Homo sapiens (Human)	157
RPL26	P61254	reviewed	RL26_HUMAN	Large ribosomal subunit protein uL24 (60S ribosomal protein L26)	RPL26	Homo sapiens (Human)	145
RPL27	P61353	reviewed	RL27_HUMAN	Large ribosomal subunit protein eL27 (60S ribosomal protein L27)	RPL27	Homo sapiens (Human)	136
RPL27A	P46776	reviewed	RL27A_HUMAN	Large ribosomal subunit protein uL15 (60S ribosomal protein L27a)	RPL27A	Homo sapiens (Human)	148
RPL28	P46779	reviewed	RL28_HUMAN	Large ribosomal subunit protein eL28 (60S ribosomal protein L28)	RPL28	Homo sapiens (Human)	137
RPL29	P47914	reviewed	RL29_HUMAN	Large ribosomal subunit protein eL29 (60S ribosomal protein L29) (Cell surface heparin-binding protein HIP)	RPL29	Homo sapiens (Human)	159
RPL30	P62888	reviewed	RL30_HUMAN	Large ribosomal subunit protein eL30 (60S ribosomal protein L30)	RPL30	Homo sapiens (Human)	115
RPL31	P62899	reviewed	RL31_HUMAN	Large ribosomal subunit protein eL31 (60S ribosomal protein L31)	RPL31	Homo sapiens (Human)	125
RPL32	P62910	reviewed	RL32_HUMAN	Large ribosomal subunit protein eL32 (60S ribosomal protein L32)	RPL32 PP9932	Homo sapiens (Human)	135
RPL34	P49207	reviewed	RL34_HUMAN	Large ribosomal subunit protein eL34 (60S ribosomal protein L34)	RPL34	Homo sapiens (Human)	117
RPL35	P42766	reviewed	RL35_HUMAN	Large ribosomal subunit protein uL29 (60S ribosomal protein L35)	RPL35	Homo sapiens (Human)	123
RPL35A	P18077	reviewed	RL35A_HUMAN	Large ribosomal subunit protein eL33 (60S ribosomal protein L35a) (Cell growth-inhibiting gene 33 protein)	RPL35A GIG33	Homo sapiens (Human)	110
RPL36	Q9Y3U8	reviewed	RL36_HUMAN	Large ribosomal subunit protein eL36 (60S ribosomal protein L36)	RPL36	Homo sapiens (Human)	105
RPL36A	P83881	reviewed	RL36A_HUMAN	Large ribosomal subunit protein eL42 (60S ribosomal protein L36a) (60S ribosomal protein L44) (Cell growth-inhibiting gene 15 protein) (Cell migration-inducing gene 6 protein)	RPL36A RPL44 GIG15 MIG6	Homo sapiens (Human)	106
RPL36AL	Q969Q0	reviewed	RL36L_HUMAN	Ribosomal protein eL42-like (60S ribosomal protein L36a-like) (Large ribosomal subunit protein eL42-like)	RPL36AL	Homo sapiens (Human)	106
RPL37	P61927	reviewed	RL37_HUMAN	Large ribosomal subunit protein eL37 (60S ribosomal protein L37) (G1.16)	RPL37	Homo sapiens (Human)	97
RPL37A	P61513	reviewed	RL37A_HUMAN	Large ribosomal subunit protein eL43 (60S ribosomal protein L37a)	RPL37A	Homo sapiens (Human)	92
RPL38	P63173	reviewed	RL38_HUMAN	Large ribosomal subunit protein eL38 (60S ribosomal protein L38)	RPL38	Homo sapiens (Human)	70
RPL39	P62891	reviewed	RL39_HUMAN	Large ribosomal subunit protein eL39 (60S ribosomal protein L39)	RPL39	Homo sapiens (Human)	51
RPL41	P62945	reviewed	RS32_HUMAN	Small ribosomal subunit protein eS32 (60S ribosomal protein L41) (HG12) (Large ribosomal subunit protein eL41)	RPL41	Homo sapiens (Human)	25
RPLP0	P05388	reviewed	RLA0_HUMAN	Large ribosomal subunit protein uL10 (60S acidic ribosomal protein P0) (60S ribosomal protein L10E)	RPLP0	Homo sapiens (Human)	317
RPLP1	P05386	reviewed	RLA1_HUMAN	Large ribosomal subunit protein P1 (60S acidic ribosomal protein P1)	RPLP1 RRP1	Homo sapiens (Human)	114
RPLP2	P05387	reviewed	RLA2_HUMAN	Large ribosomal subunit protein P2 (60S acidic ribosomal protein P2) (Renal carcinoma antigen NY-REN-44)	RPLP2 D11S2243E RPP2	Homo sapiens (Human)	115
UBA52	P62987	reviewed	RL40_HUMAN	Ubiquitin-ribosomal protein eL40 fusion protein (CEP52) (Ubiquitin A-52 residue ribosomal protein fusion product 1) [Cleaved into: Ubiquitin; Large ribosomal subunit protein eL40 (60S ribosomal protein L40) (rpL40)]	UBA52 UBCEP2	Homo sapiens (Human)	128
EIF4E	P06730	reviewed	IF4E_HUMAN	Eukaryotic translation initiation factor 4E (eIF-4E) (eIF4E) (eIF-4F 25 kDa subunit) (mRNA cap-binding protein)	EIF4E EIF4EL1 EIF4F	Homo sapiens (Human)	217
EIF4G1	Q04637	reviewed	IF4G1_HUMAN	Eukaryotic translation initiation factor 4 gamma 1 (eIF-4-gamma 1) (eIF-4G 1) (eIF-4G1) (p220)	EIF4G1 EIF4F EIF4G EIF4GI	Homo sapiens (Human)	1599
EIF4A1	P60842	reviewed	IF4A1_HUMAN	Eukaryotic initiation factor 4A-I (eIF-4A-I) (eIF4A-I) (EC 3.6.4.13) (ATP-dependent RNA helicase eIF4A-1)	EIF4A1 DDX2A EIF4A	Homo sapiens (Human)	406
EEF1A1	P68104	reviewed	EF1A1_HUMAN	Elongation factor 1-alpha 1 (EF-1-alpha-1) (EC 3.6.5.-) (Elongation factor Tu) (EF-Tu) (Eukaryotic elongation factor 1 A-1) (eEF1A-1) (Leukocyte receptor cluster member 7)	EEF1A1 EEF1A EF1A LENG7	Homo sapiens (Human)	462
EEF2	P13639	reviewed	EF2_HUMAN	Elongation factor 2 (EF-2) (EC 3.6.5.-)	EEF2 EF2	Homo sapiens (Human)	858
ETF1	P62495	reviewed	ERF1_HUMAN	Eukaryotic peptide chain release factor subunit 1 (Eukaryotic release factor 1) (eRF1) (Protein Cl1) (TB3-1)	ETF1 ERF1 RF1 SUP45L1	Homo sapiens (Human)	437
MED6	O75586	reviewed	MED6_HUMAN	Mediator of RNA polymerase II transcription subunit 6 (Activator-recruited cofactor 33 kDa component) (ARC33) (Mediator complex subunit 6) (hMed6) (Renal carcinoma antigen NY-REN-28)	MED6 ARC33	Homo sapiens (Human)	246
MED8	Q96G25	reviewed	MED8_HUMAN	Mediator of RNA polymerase II transcription subunit 8 (Activator-recruited cofactor 32 kDa component) (ARC32) (Mediator complex subunit 8)	MED8	Homo sapiens (Human)	268
MED11	Q9P086	reviewed	MED11_HUMAN	Mediator of RNA polymerase II transcription subunit 11 (Mediator complex subunit 11)	MED11 HSPC296	Homo sapiens (Human)	117
MED17	Q9NVC6	reviewed	MED17_HUMAN	Mediator of RNA polymerase II transcription subunit 17 (Activator-recruited cofactor 77 kDa component) (ARC77) (Cofactor required for Sp1 transcriptional activation subunit 6) (CRSP complex subunit 6) (Mediator complex subunit 17) (Thyroid hormone receptor-associated protein complex 80 kDa component) (Trap80) (Transcriptional coactivator CRSP77) (Vitamin D3 receptor-interacting protein complex 80 kDa component) (DRIP80)	MED17 ARC77 CRSP6 DRIP77 DRIP80 TRAP80	Homo sapiens (Human)	651
MED18	Q9BUE0	reviewed	MED18_HUMAN	Mediator of RNA polymerase II transcription subunit 18 (Mediator complex subunit 18) (p28b)	MED18	Homo sapiens (Human)	208
MED20	Q9H944	reviewed	MED20_HUMAN	Mediator of RNA polymerase II transcription subunit 20 (Mediator complex subunit 20) (TRF-proximal protein homolog) (hTRFP)	MED20 TRFP	Homo sapiens (Human)	212
MED22	Q15528	reviewed	MED22_HUMAN	Mediator of RNA polymerase II transcription subunit 22 (Mediator complex subunit 22) (Surfeit locus protein 5) (Surf-5)	MED22 SURF5	Homo sapiens (Human)	200
MED28	Q9H204	reviewed	MED28_HUMAN	Mediator of RNA polymerase II transcription subunit 28 (Endothelial-derived protein 1) (Mediator complex subunit 28) (Merlin and Grb2-interacting cytoskeletal protein) (Magicin) (Tumor angiogenesis marker EG-1)	MED28 EG1 FKSG20	Homo sapiens (Human)	178
MED30	Q96HR3	reviewed	MED30_HUMAN	Mediator of RNA polymerase II transcription subunit 30 (Mediator complex subunit 30) (TRAP/Mediator complex component TRAP25) (Thyroid hormone receptor-associated protein 6) (Thyroid hormone receptor-associated protein complex 25 kDa component) (Trap25)	MED30 THRAP6 TRAP25	Homo sapiens (Human)	178
MED1	Q15648	reviewed	MED1_HUMAN	Mediator of RNA polymerase II transcription subunit 1 (Activator-recruited cofactor 205 kDa component) (ARC205) (Mediator complex subunit 1) (Peroxisome proliferator-activated receptor-binding protein) (PBP) (PPAR-binding protein) (Thyroid hormone receptor-associated protein complex 220 kDa component) (Trap220) (Thyroid receptor-interacting protein 2) (TR-interacting protein 2) (TRIP-2) (Vitamin D receptor-interacting protein complex component DRIP205) (p53 regulatory protein RB18A)	MED1 ARC205 CRSP1 CRSP200 DRIP205 DRIP230 PBP PPARBP PPARGBP RB18A TRAP220 TRIP2	Homo sapiens (Human)	1581
MED4	Q9NPJ6	reviewed	MED4_HUMAN	Mediator of RNA polymerase II transcription subunit 4 (Activator-recruited cofactor 36 kDa component) (ARC36) (Mediator complex subunit 4) (TRAP/SMCC/PC2 subunit p36 subunit) (Vitamin D3 receptor-interacting protein complex 36 kDa component) (DRIP36)	MED4 ARC36 DRIP36 VDRIP HSPC126	Homo sapiens (Human)	270
MED7	O43513	reviewed	MED7_HUMAN	Mediator of RNA polymerase II transcription subunit 7 (hMED7) (Activator-recruited cofactor 34 kDa component) (ARC34) (Cofactor required for Sp1 transcriptional activation subunit 9) (CRSP complex subunit 9) (Mediator complex subunit 7) (RNA polymerase transcriptional regulation mediator subunit 7 homolog) (Transcriptional coactivator CRSP33)	MED7 ARC34 CRSP9	Homo sapiens (Human)	233
MED9	Q9NWA0	reviewed	MED9_HUMAN	Mediator of RNA polymerase II transcription subunit 9 (Mediator complex subunit 9)	MED9 MED25	Homo sapiens (Human)	146
MED10	Q9BTT4	reviewed	MED10_HUMAN	Mediator of RNA polymerase II transcription subunit 10 (Mediator complex subunit 10) (Transformation-related gene 17 protein) (TRG-17) (Transformation-related gene 20 protein) (TRG-20)	MED10 L6 TRG17 TRG20	Homo sapiens (Human)	135
MED19	A0JLT2	reviewed	MED19_HUMAN	Mediator of RNA polymerase II transcription subunit 19 (Lung cancer metastasis-related protein 1) (Mediator complex subunit 19)	MED19 LCMR1	Homo sapiens (Human)	244
MED21	Q13503	reviewed	MED21_HUMAN	Mediator of RNA polymerase II transcription subunit 21 (Mediator complex subunit 21) (RNA polymerase II holoenzyme component SRB7) (RNAPII complex component SRB7) (hSrb7)	MED21 SRB7 SURB7	Homo sapiens (Human)	144
MED26	O95402	reviewed	MED26_HUMAN	Mediator of RNA polymerase II transcription subunit 26 (Activator-recruited cofactor 70 kDa component) (ARC70) (Cofactor required for Sp1 transcriptional activation subunit 7) (CRSP complex subunit 7) (Mediator complex subunit 26) (Transcriptional coactivator CRSP70)	MED26 ARC70 CRSP7	Homo sapiens (Human)	600
MED31	Q9Y3C7	reviewed	MED31_HUMAN	Mediator of RNA polymerase II transcription subunit 31 (Mediator complex subunit 31) (Mediator complex subunit SOH1) (hSOH1)	MED31 SOH1 CGI-125	Homo sapiens (Human)	131
MED14	O60244	reviewed	MED14_HUMAN	Mediator of RNA polymerase II transcription subunit 14 (Activator-recruited cofactor 150 kDa component) (ARC150) (Cofactor required for Sp1 transcriptional activation subunit 2) (CRSP complex subunit 2) (Mediator complex subunit 14) (RGR1 homolog) (hRGR1) (Thyroid hormone receptor-associated protein complex 170 kDa component) (Trap170) (Transcriptional coactivator CRSP150) (Vitamin D3 receptor-interacting protein complex 150 kDa component) (DRIP150)	MED14 ARC150 CRSP2 CXorf4 DRIP150 EXLM1 RGR1 TRAP170	Homo sapiens (Human)	1454
MED15	Q96RN5	reviewed	MED15_HUMAN	Mediator of RNA polymerase II transcription subunit 15 (Activator-recruited cofactor 105 kDa component) (ARC105) (CTG repeat protein 7a) (Mediator complex subunit 15) (Positive cofactor 2 glutamine/Q-rich-associated protein) (PC2 glutamine/Q-rich-associated protein) (TPA-inducible gene 1 protein) (TIG-1) (Trinucleotide repeat-containing gene 7 protein)	MED15 ARC105 CTG7A PCQAP TIG1 TNRC7	Homo sapiens (Human)	788
MED16	Q9Y2X0	reviewed	MED16_HUMAN	Mediator of RNA polymerase II transcription subunit 16 (Mediator complex subunit 16) (Thyroid hormone receptor-associated protein 5) (Thyroid hormone receptor-associated protein complex 95 kDa component) (Trap95) (Vitamin D3 receptor-interacting protein complex 92 kDa component) (DRIP92)	MED16 DRIP92 THRAP5	Homo sapiens (Human)	877
MED23	Q9ULK4	reviewed	MED23_HUMAN	Mediator of RNA polymerase II transcription subunit 23 (Activator-recruited cofactor 130 kDa component) (ARC130) (Cofactor required for Sp1 transcriptional activation subunit 3) (CRSP complex subunit 3) (Mediator complex subunit 23) (Protein sur-2 homolog) (hSur-2) (Transcriptional coactivator CRSP130) (Vitamin D3 receptor-interacting protein complex 130 kDa component) (DRIP130)	MED23 ARC130 CRSP3 DRIP130 KIAA1216 SUR2	Homo sapiens (Human)	1368
MED24	O75448	reviewed	MED24_HUMAN	Mediator of RNA polymerase II transcription subunit 24 (Activator-recruited cofactor 100 kDa component) (ARC100) (Cofactor required for Sp1 transcriptional activation subunit 4) (CRSP complex subunit 4) (Mediator complex subunit 24) (Thyroid hormone receptor-associated protein 4) (Thyroid hormone receptor-associated protein complex 100 kDa component) (Trap100) (hTRAP100) (Vitamin D3 receptor-interacting protein complex 100 kDa component) (DRIP100)	MED24 ARC100 CRSP4 DRIP100 KIAA0130 THRAP4 TRAP100	Homo sapiens (Human)	989
